employee_id,first_name,last_name,title,department,birth_date,hire_date,address,city,country,postal_code,phone,email,salary,performance_rating,reports_to
1,Judith,Sanchez,Operations Manager,Operations,1973-02-18,2011-12-25,181 Johnson Course,Seattle,USA,29158,989.608.3863,blakeerik@example.com,61049,3.06,
2,Eric,Bernard,Operations Executive,Operations,1988-09-16,2016-04-13,16155 Roman Stream Suite 816,Chicago,USA,10829,+1-649-359-3103,michellejames@example.com,83698,3.55,
3,Mitchell,Clark,Financial Analyst,Finance,1990-05-20,2014-04-28,192 Frank Light Suite 835,Seattle,USA,07832,505.964.1395,pwilkerson@example.com,116237,4.01,
4,Donald,Mcgee,Accountant,Finance,1975-04-13,2016-01-23,969 Cox Dam Suite 101,Mumbai,India,20534,+1-326-691-6697x8480,daniel62@example.com,86463,4.52,
5,Nancy,Baker,Operations Manager,Operations,1965-10-11,2023-11-03,148 Eric Track,Seattle,USA,21675,+1-680-595-7015,allenashley@example.org,67298,3.19,
6,Todd,Jones,Sales Representative,Sales,1971-05-21,2024-01-03,78248 Brandt Plains,Chennai,India,99495,001-234-565-7871x3315,adrianzimmerman@example.org,64898,2.74,
7,Rebecca,Heath,Support Engineer,Customer Support,1981-02-19,2012-09-13,347 Amber Stream,Manchester,UK,75348,001-773-876-3116,uowens@example.org,65108,3.84,
8,Richard,Morgan,Data Analyst,IT,1972-04-03,2012-08-02,33872 White Mountain,Toronto,Canada,33243,478-810-8013,zolson@example.org,178711,4.07,
9,Aaron,Myers,Operations Executive,Operations,1976-10-05,2018-01-01,6872 Kenneth Centers Apt. 500,London,UK,77070,388.520.8121x9136,harveyrobert@example.net,48003,4.15,
10,Leslie,Green,Support Engineer,Customer Support,2004-01-08,2020-06-13,46247 Hickman Cliffs Apt. 799,London,UK,13605,783-684-2513,samueldaniels@example.com,41619,3.45,
11,Elizabeth,Spencer,Accountant,Finance,2001-07-20,2011-09-09,41182 Campbell Fords,Vancouver,Canada,94559,634-487-4016x40052,barnold@example.net,96566,3.02,5.0
12,Charles,Ware,Operations Executive,Operations,1966-03-20,2013-06-17,059 Russell Canyon,Chicago,USA,40905,(405)433-1586x923,vjohnson@example.com,80005,4.32,3.0
13,Elizabeth,Moss,Recruiter,Human Resources,1993-07-29,2025-03-15,2160 Walker Viaduct,Vancouver,Canada,60833,(843)730-3654x145,wilsontara@example.org,90099,3.89,6.0
14,Daniel,Hamilton,Support Engineer,Customer Support,1983-08-16,2012-03-16,9816 Jonathan Station Suite 088,Seattle,USA,90528,001-735-861-5951x4846,angela36@example.net,55673,3.5,2.0
15,Kaitlin,Thompson,Finance Manager,Finance,1991-05-11,2023-01-29,8044 Russell Prairie Suite 777,Chennai,India,89056,387.521.4895,jeffrey32@example.org,115435,3.49,8.0
16,Tracey,Carr,Financial Analyst,Finance,1968-09-13,2015-09-21,6936 Ross Drive,Chennai,India,86491,001-901-463-2870x831,jcontreras@example.net,84438,4.37,7.0
17,Patricia,Salazar,Financial Analyst,Finance,1987-02-24,2024-05-27,727 Green Gateway Suite 873,Vancouver,Canada,36493,814.434.5581x223,calebrussell@example.net,116784,3.73,1.0
18,Bryan,Wall,Operations Executive,Operations,1997-04-06,2018-08-18,096 Smith Knoll Suite 668,Seattle,USA,98479,001-489-937-3467x0656,tinaferguson@example.com,96909,4.2,10.0
19,Anthony,Day,SEO Specialist,Marketing,2003-12-19,2022-11-01,2046 Lewis Islands,New York,USA,44737,001-264-564-1708x05310,maryhowell@example.org,75674,3.82,9.0
20,Elizabeth,Elliott,Operations Executive,Operations,1974-02-23,2019-08-12,4529 Kimberly Estates,Chicago,USA,41269,590-349-6631,melissa91@example.net,89676,4.71,5.0
21,Amanda,Stanley,HR Manager,Human Resources,1968-05-08,2017-06-18,506 Garcia Lake,London,UK,83808,626.728.4987x769,mariahmiller@example.com,55365,3.63,5.0
22,Steven,Bishop,Customer Success Manager,Customer Support,1982-02-25,2024-04-28,0752 Lewis Union Suite 549,Hyderabad,India,92406,980-983-1367x837,davisjeffrey@example.net,68270,4.02,3.0
23,Elizabeth,Wood,Software Engineer,IT,1982-02-11,2016-10-06,8557 Parker Fort Apt. 351,London,UK,97871,+1-623-337-4989,kennethward@example.com,148504,3.31,1.0
24,Amanda,Hill,Customer Success Manager,Customer Support,1966-07-09,2023-08-08,427 Monique Ports,New York,USA,37769,277.452.0471x1671,lisaavery@example.org,50692,2.64,10.0
25,Angela,Butler,Operations Manager,Operations,1982-06-12,2013-07-28,677 Dalton Meadow,Seattle,USA,40527,001-490-591-3341,andreamoore@example.com,98478,2.67,9.0
26,Brittney,Carter,Operations Manager,Operations,1996-03-19,2023-04-14,4713 French Road,Bangalore,India,77805,+1-636-918-3242x10249,harrisonkevin@example.com,107052,3.87,5.0
27,Amber,Kim,Data Engineer,IT,1984-01-31,2020-01-26,5940 Jeremy Spring,Toronto,Canada,75893,001-604-490-2787,fwalters@example.org,163447,3.28,6.0
28,Ricky,Morris,Sales Representative,Sales,1997-07-17,2017-06-23,56746 Shawn Island,Vancouver,Canada,33583,916-280-8760x38597,josephanderson@example.com,54725,2.66,1.0
29,Helen,Martinez,Sales Representative,Sales,1995-05-16,2026-07-17,248 Andrea Course,Bangalore,India,29952,971-927-4846,stephenthomas@example.org,86389,4.08,4.0
30,Natasha,Shields,Customer Success Manager,Customer Support,2000-02-22,2024-04-02,5840 Barber Villages Suite 278,Seattle,USA,63984,(858)286-7533x963,julie66@example.net,39643,3.79,5.0
31,Tammie,Martinez,Data Engineer,IT,1975-11-28,2019-12-25,71870 Robert Shoal Apt. 174,Toronto,Canada,44876,+1-561-658-6578x091,juliehamilton@example.org,164811,4.84,10.0
32,Garrett,Evans,Customer Success Manager,Customer Support,1972-05-25,2019-02-07,50455 Thomas Pines,Toronto,Canada,54509,001-922-421-9693,stevenking@example.com,61677,2.98,2.0
33,Steven,Roberts,Marketing Manager,Marketing,1966-03-13,2025-03-30,75946 Bryant Hollow,Vancouver,Canada,26612,(271)236-9594x4064,swall@example.org,75606,4.66,1.0
34,Dana,Oliver,SEO Specialist,Marketing,1989-07-13,2015-04-13,104 Johnson Lakes,Seattle,USA,96492,(714)656-2328,jonathansummers@example.com,67236,4.5,2.0
35,Monica,Brock,Finance Manager,Finance,1985-08-22,2024-04-03,23685 Krystal Bridge Suite 817,Bangalore,India,48812,+1-349-965-1370x98593,debra12@example.org,108800,2.85,3.0
36,Wendy,Wilson,Financial Analyst,Finance,1968-02-02,2016-09-25,267 Santiago Summit,Manchester,UK,91790,+1-669-226-1796,jeff73@example.com,108082,4.52,9.0
37,Michael,Winters,Operations Executive,Operations,1972-04-26,2023-03-22,64317 Elizabeth Row Apt. 053,Seattle,USA,17006,001-431-283-9335,michele22@example.net,108504,2.73,4.0
38,Greg,Guerrero,Marketing Manager,Marketing,1982-08-13,2025-02-20,05395 Grant Center,Mumbai,India,17115,001-568-211-7758x9178,stephen00@example.com,59008,4.66,1.0
39,Gina,Henry,Sales Executive,Sales,1992-11-20,2018-10-22,15921 Joshua Roads Suite 698,Mumbai,India,39153,789.961.1836x736,gperry@example.com,57380,4.82,8.0
40,Elizabeth,Brooks,Operations Manager,Operations,1994-08-07,2016-11-14,711 Christopher Court,Manchester,UK,98095,001-252-680-9885x1656,michael98@example.org,55144,2.97,4.0
41,Timothy,Boone,Operations Executive,Operations,1976-02-01,2022-09-23,514 Lindsay Vista Apt. 940,Chicago,USA,24148,345-550-2296x120,vbarnes@example.org,94019,3.28,1.0
42,Jennifer,Frank,Sales Manager,Sales,1990-09-27,2016-11-09,22901 Ramos Manors,Toronto,Canada,64157,+1-976-643-8156x149,walkertracey@example.org,45250,4.63,2.0
43,Kevin,Clark,Support Engineer,Customer Support,1966-01-30,2015-01-13,4510 Burgess Extensions,Chicago,USA,17433,(783)888-5160x6071,amckinney@example.com,61461,2.8,10.0
44,Andrew,Nguyen,Software Engineer,IT,1973-05-24,2018-06-12,516 John Radial Suite 816,Hyderabad,India,41169,001-453-552-1818x8355,thomasjames@example.net,124948,4.14,10.0
45,Katherine,Jones,Finance Manager,Finance,1975-12-17,2024-06-27,9979 Lin Road Suite 271,Manchester,UK,61963,244.790.5814x770,chase19@example.net,91180,3.1,7.0
46,Steven,Spencer,Marketing Manager,Marketing,2000-01-24,2018-02-05,9359 Mason Circle,Chennai,India,59551,451-782-0377,samantha66@example.com,94274,4.84,1.0
47,Crystal,Cook,Sales Manager,Sales,1969-02-13,2024-12-25,86449 Mathew Prairie Apt. 546,Toronto,Canada,17402,+1-214-786-5281x685,henry35@example.com,53969,3.76,3.0
48,Zoe,Moore,Accountant,Finance,1978-08-16,2015-05-30,88805 Carla Drives Apt. 292,London,UK,95027,606.953.7947x383,michealvalentine@example.com,87353,2.89,9.0
49,Juan,Reyes,Operations Manager,Operations,1996-12-22,2024-08-24,39240 Sawyer Plaza Apt. 814,London,UK,11494,001-824-778-2613x75060,paulmiller@example.org,106063,4.16,3.0
50,Sarah,Combs,Sales Manager,Sales,1967-06-23,2016-12-23,20472 West Avenue Apt. 043,London,UK,20098,+1-298-561-4341,nfowler@example.com,76256,2.89,5.0
51,Mary,Porter,Finance Manager,Finance,1969-10-31,2013-06-10,893 Kelly Alley,Chennai,India,81085,(239)862-1851x888,ywilliams@example.com,84600,3.76,5.0
52,Allen,Kramer,Operations Manager,Operations,1982-10-26,2024-04-08,19520 Payne Via Apt. 772,Seattle,USA,18176,670-843-0305,wking@example.net,99352,3.19,1.0
53,Michael,Norman,Operations Manager,Operations,1978-07-24,2016-06-03,1566 Kline Lights Suite 277,London,UK,48649,641.661.6928x45115,bmorrison@example.org,55589,4.35,9.0
54,Sergio,Acosta,Sales Representative,Sales,1995-10-07,2017-07-15,640 Emily Lodge Suite 820,Toronto,Canada,19215,+1-470-921-3556x909,nathan19@example.org,85286,4.76,9.0
55,Raymond,Banks,Data Engineer,IT,2001-08-02,2017-10-19,02786 Jose Green,New York,USA,92780,339.747.3121x727,jenna88@example.com,126333,2.82,5.0
56,Eric,Mckinney,HR Executive,Human Resources,1985-12-20,2026-01-15,8313 Joel Park,London,UK,03946,(989)857-8291x146,emorrow@example.org,89699,3.12,2.0
57,Charles,Owens,Data Engineer,IT,1987-02-17,2022-06-26,89226 Marie Path Apt. 422,Manchester,UK,42792,001-335-484-1438x424,georgeweber@example.net,101029,4.66,3.0
58,Sandra,Williams,Finance Manager,Finance,1988-07-13,2025-11-21,09439 Montgomery Burgs,Toronto,Canada,65779,+1-884-947-3647x1027,mharris@example.org,93540,4.46,7.0
59,Jennifer,Gross,Finance Manager,Finance,1986-10-30,2026-03-19,2588 Luis Mountain Apt. 473,Chennai,India,18966,704-569-6325,tyronerobertson@example.com,64168,3.46,1.0
60,Andrew,Landry,Accountant,Finance,1986-07-21,2020-01-07,39500 Simpson Ville Suite 480,Toronto,Canada,14590,(624)356-5060x98358,wgordon@example.net,95830,3.26,4.0
61,Veronica,Becker,Operations Executive,Operations,1984-08-04,2025-08-06,16558 Fischer Flat,Hyderabad,India,79467,468.700.0257x87298,francisco94@example.net,71113,3.32,2.0
62,Maria,Patel,Operations Manager,Operations,1988-06-12,2020-03-09,0551 Silva Underpass Apt. 974,Manchester,UK,86430,001-399-530-9728x96230,alexanderrobert@example.com,89532,4.95,9.0
63,Warren,Carr,Sales Executive,Sales,1979-06-07,2018-07-15,028 Ann Shore Suite 865,London,UK,23200,685.585.4973x348,kellie37@example.com,51702,3.95,5.0
64,Ann,Michael,Cloud Engineer,IT,1998-03-17,2017-06-28,1986 Cardenas Trail Apt. 404,Seattle,USA,94104,657-447-3384,gilbertbrenda@example.org,115309,4.32,6.0
65,Rebecca,Perez,SEO Specialist,Marketing,1969-01-04,2022-12-14,16571 Adam Plaza,Toronto,Canada,21202,(877)434-5401x93802,osbornrandy@example.com,57457,3.14,7.0
66,Suzanne,Howe,Support Engineer,Customer Support,1978-03-27,2024-04-19,49915 Gibson Row,Chicago,USA,71712,772.687.4315x27420,gregorychase@example.com,58869,3.58,6.0
67,Mark,Morales,Operations Manager,Operations,1994-08-30,2020-04-27,27530 Reyes Mission,London,UK,99297,654-499-0453x017,tparks@example.com,78234,3.27,7.0
68,Sabrina,Phillips,Operations Manager,Operations,1973-07-19,2022-06-03,27279 Perry Plaza,Manchester,UK,62213,001-583-439-1878x51910,markmeyer@example.org,81333,2.82,7.0
69,Brandy,Davis,Data Analyst,IT,1979-07-15,2023-10-02,72867 Angelica Spring Suite 064,Toronto,Canada,00896,001-639-810-6518x0170,kaylacannon@example.net,123225,3.87,1.0
70,Victoria,Reyes,Accountant,Finance,1994-03-01,2017-12-04,1825 Gregory Plain Suite 823,Manchester,UK,00956,001-504-378-6863x37524,pachecorobert@example.org,92237,3.66,8.0
71,Carlos,Wheeler,Support Engineer,Customer Support,1981-12-07,2015-01-23,030 Gonzales Plains Apt. 028,Mumbai,India,38415,595.899.5342,joshua89@example.net,40557,3.21,10.0
72,Erika,Peters,Support Engineer,Customer Support,1977-06-22,2022-03-16,6856 Hernandez Lane,London,UK,24602,001-487-833-4270x86688,jonathanrivera@example.org,55343,3.06,4.0
73,Nathan,Nichols,Sales Representative,Sales,1996-03-01,2025-12-19,46990 Jacob Trace,Hyderabad,India,77516,001-583-873-5403x3173,andrearowe@example.com,71138,4.03,2.0
74,Deborah,Parker,Operations Executive,Operations,1997-04-14,2020-08-19,771 Gill Island Apt. 556,Vancouver,Canada,06493,001-632-404-8996,markjames@example.org,92077,4.24,8.0
75,Diamond,Cohen,Finance Manager,Finance,1999-07-15,2020-12-03,7725 Donald Plains Suite 280,Toronto,Canada,69175,2105062312,nbrooks@example.net,50726,4.73,2.0
76,Tony,Smith,Finance Manager,Finance,1998-06-10,2022-10-09,08484 Wayne Square Suite 211,Toronto,Canada,69233,(333)798-4546,pstevens@example.net,117889,3.66,9.0
77,Gabriella,Abbott,Marketing Executive,Marketing,1980-12-04,2016-08-28,66687 Dana Squares,Hyderabad,India,22964,576-959-1803,brandon14@example.net,75450,4.17,9.0
78,Antonio,Mcfarland,Cloud Engineer,IT,2003-11-27,2022-10-02,39261 Martin Garden Suite 856,Manchester,UK,99540,001-821-785-0163x1599,walterskristen@example.com,178864,4.77,8.0
79,Michael,Pugh,Marketing Manager,Marketing,1998-12-11,2015-06-09,96194 Jennifer Corner Suite 262,Mumbai,India,97449,(455)811-0475x4121,ghawkins@example.com,94268,3.12,5.0
80,Christopher,Spencer,HR Manager,Human Resources,1972-08-02,2012-01-02,0466 Jenny Points Apt. 982,Toronto,Canada,90326,(622)944-4721x2646,wardsheryl@example.net,50077,4.28,4.0
81,Christina,Ellis,Recruiter,Human Resources,1999-04-19,2021-08-28,0659 Brock Isle,Manchester,UK,58201,969-524-5937x52654,nicholas65@example.org,50280,2.85,4.0
82,Brittany,Gardner,Operations Executive,Operations,2003-12-05,2014-12-15,737 Guerra Cliff,Toronto,Canada,54128,+1-872-843-4266x17979,gibbsmichael@example.net,49209,3.54,6.0
83,Kayla,Sandoval,Sales Representative,Sales,1971-05-05,2013-06-01,90965 Rodriguez Courts Suite 388,Vancouver,Canada,73638,001-493-775-6798,webbkenneth@example.org,67534,3.47,10.0
84,Shelia,Thomas,Marketing Manager,Marketing,1973-06-15,2025-09-12,7387 Alvarez Mill Suite 514,Chicago,USA,06357,001-810-951-2382x825,laurensoto@example.org,45386,4.86,5.0
85,Anthony,Mendez,Data Engineer,IT,1994-12-18,2018-04-15,9660 Jamie Terrace,Vancouver,Canada,92744,391-682-5537,orose@example.com,133993,3.05,7.0
86,Philip,Wilson,Marketing Manager,Marketing,1992-01-02,2021-12-15,9249 Emily Island Apt. 341,Toronto,Canada,24493,(428)466-9296x627,lroberts@example.com,88835,4.2,7.0
87,Brian,Howard,Finance Manager,Finance,1996-03-31,2022-02-03,2368 Ortiz Overpass,Mumbai,India,54978,001-677-421-9034x043,xcunningham@example.com,53534,4.77,10.0
88,Daniel,Wilson,Operations Manager,Operations,2002-12-19,2020-03-31,078 Veronica Cove Apt. 407,Seattle,USA,34948,(417)513-3959x629,lindahudson@example.net,53893,4.67,3.0
89,Amber,Morris,Marketing Manager,Marketing,1984-09-07,2021-09-16,9481 Sydney Turnpike Suite 042,New York,USA,92438,(632)853-6729,ohayes@example.org,58871,3.64,6.0
90,Kara,Neal,Customer Success Manager,Customer Support,1992-12-20,2020-04-29,7590 Jessica Mount Suite 186,Vancouver,Canada,29052,(237)345-4589x29750,ksmith@example.com,51532,4.59,8.0
91,Victoria,Patterson,Software Engineer,IT,1996-08-15,2011-07-27,424 Diamond Glen,Chicago,USA,11304,(320)464-3611x037,aprilwallace@example.org,115870,3.06,2.0
92,David,Dalton,Financial Analyst,Finance,1988-12-08,2025-06-16,1361 Dakota Land,Seattle,USA,39724,(462)921-8909,jennifer26@example.net,52671,4.05,4.0
